PlayerID,Rank,Damage
33124,#121,"87,483,178,250"
92786,#122,"87,428,416,624"
105873,#123,"87,244,575,331"
56687,#124,"87,078,153,725"
89482,#125,"86,534,332,350"
90465,#126,"86,292,401,620"
73191,#127,"86,109,011,171"
78009,#128,"86,037,347,881"
99221,#129,"85,953,712,400"
89534,#130,"84,862,769,216"
16730,#131,"83,104,158,084"
87750,#132,"82,488,068,769"
31956,#133,"82,109,522,185"
56488,#134,"81,694,718,988"
55770,#135,"80,353,821,777"
97656,#136,"79,712,872,159"
89924,#137,"79,315,700,965"
106495,#138,"78,730,868,086"
78533,#139,"78,114,520,769"
43275,#140,"77,821,543,879"
54810,#141,"76,905,265,281"
13126,#142,"76,605,244,000"
87355,#143,"76,386,257,928"
103165,#144,"76,070,649,311"
100918,#145,"75,437,861,557"
102619,#146,"75,281,260,083"
25090,#147,"73,878,116,248"
89839,#148,"73,672,037,324"
66550,#149,"73,056,908,822"
77331,#150,"73,020,141,621"
28414,#151,"72,465,867,482"
105070,#152,"71,763,425,429"
81279,#153,"71,730,050,135"
71022,#154,"70,654,339,616"
103663,#155,"70,648,148,097"
76223,#156,"70,564,360,628"
73954,#157,"70,390,152,729"
56156,#158,"70,209,360,576"
98799,#159,"69,854,456,339"
106211,#160,"69,787,187,408"
82427,#161,"69,005,686,682"
59736,#162,"68,974,896,612"
106085,#163,"68,764,836,130"
66397,#164,"68,334,581,298"
90102,#165,"68,309,655,768"
28265,#166,"68,282,669,880"
72513,#167,"68,213,028,804"
88460,#168,"67,909,446,835"
103775,#169,"67,801,472,225"
83197,#170,"67,478,208,429"
100021,#171,"66,810,812,937"
77964,#172,"66,708,961,796"
92225,#173,"66,636,307,460"
106067,#174,"66,366,779,891"
79730,#175,"65,944,639,390"
105547,#176,"65,691,714,319"
65467,#177,"65,076,078,004"
88613,#178,"63,159,822,660"
79435,#179,"62,699,854,105"
103302,#180,"62,474,013,398"
72888,#181,"62,463,576,880"
105245,#182,"62,351,670,800"
91988,#183,"61,861,715,074"
62361,#184,"61,748,761,575"
79420,#185,"61,606,268,994"
43320,#186,"61,476,358,705"
88587,#187,"61,466,865,866"
3934,#188,"61,391,087,553"
51763,#189,"60,701,921,031"
79836,#190,"60,658,894,437"
66867,#191,"59,744,707,464"
48358,#192,"59,645,670,490"
19379,#193,"59,601,054,544"
65428,#194,"58,562,792,239"
81472,#195,"58,241,054,575"
87639,#196,"58,181,160,193"
95657,#197,"58,023,278,590"
62700,#198,"57,984,520,226"
78540,#199,"57,535,215,104"
42958,#200,"57,153,174,353"
105699,#201,"56,840,252,332"
10539,#202,"56,447,204,408"
80964,#203,"56,085,556,209"
64098,#204,"55,957,014,650"
108387,#205,"55,921,941,719"
90980,#206,"55,869,517,914"
67820,#207,"55,717,012,321"
81037,#208,"55,705,541,235"
94966,#209,"55,456,728,401"
103733,#210,"55,145,031,027"
79277,#211,"54,819,432,887"
81846,#212,"54,735,748,546"
99923,#213,"54,430,977,376"
104370,#214,"54,261,537,911"
76082,#215,"54,072,338,135"
63770,#216,"53,869,930,978"
99324,#217,"53,857,162,272"
42552,#218,"53,484,178,954"
63846,#219,"53,364,959,119"
43786,#220,"53,317,263,800"
79608,#221,"53,313,662,190"
76073,#222,"53,226,547,407"
77068,#223,"53,014,397,344"
37725,#224,"52,986,039,727"
42662,#225,"52,929,555,350"
87965,#226,"52,923,726,406"
82087,#227,"52,544,847,615"
65711,#228,"52,371,722,295"
89722,#229,"52,210,516,954"
76138,#230,"52,106,597,215"
65807,#231,"51,880,121,338"
99757,#232,"51,565,293,985"
91764,#233,"51,526,422,717"
56877,#234,"51,465,516,235"
49268,#235,"51,392,903,389"
81247,#236,"51,272,626,231"
63852,#237,"51,205,166,153"
75081,#238,"50,613,932,960"
98890,#239,"50,475,323,753"
74258,#240,"50,404,418,571"
57107,#241,"50,389,525,843"
25745,#242,"50,325,193,940"
93111,#243,"50,148,352,636"
106588,#244,"49,769,229,871"
75333,#245,"49,742,129,611"
76910,#246,"49,587,301,082"
44129,#247,"49,552,773,356"
100472,#248,"49,103,826,713"
78078,#249,"48,457,410,796"
87480,#250,"48,278,744,582"
103294,#251,"48,009,011,872"
14131,#252,"47,744,739,881"
112811,#253,"47,689,848,230"
100384,#254,"47,667,849,865"
49373,#255,"47,605,190,658"
41236,#256,"47,578,328,821"
22387,#257,"47,227,178,204"
59217,#258,"47,098,905,821"
22200,#259,"46,845,851,136"
95322,#260,"46,640,564,674"
80901,#261,"46,497,707,829"
105976,#262,"45,776,234,276"
